name,pop,lat,lon
Pomona,0.380556,34.0667,-117.7506
Compton,0.380262,33.9014,-118.205
Los Angeles - N. Mai,0.358796,34.0669,-118.2417
Azusa,0.350954,34.136475,34.136475
Reseda,0.342175,34.1992,-118.5331
Anaheim,0.341839,33.830585,-117.93851
Glendora - Laurel,0.311931,34.1439,-117.8508
West Los Angeles - V,0.300147,34.0506,-118.4553
Pasadena,0.294374,34.13263,-118.127144
Long Beach - Hudson,0.285728,33.802418,-118.21993
Santa Clarita,0.231082,34.3833,-118.5283
LAX-Hastings,0.229517,33.95507,-118.43046
La Habra,0.216359,33.92506,-117.95258
Mission Viejo,0.184352,33.62999,-117.67587
Costa Mesa - Mesa Ve,0.103176,33.67454,-117.92559
